Time(s),Roll(deg),Pitch(deg),Yaw(deg)
3.947,30.71,-71.56,-41.35
3.997,32.95,-70.54,-43.79
4.047,35.13,-69.38,-46.19
4.097,37.34,-68.17,-48.82
4.147,39.28,-66.85,-51.19
4.197,40.66,-65.56,-53.16
4.246,41.92,-64.17,-54.79
4.296,43.05,-62.89,-56.25
4.346,43.83,-61.55,-57.18
4.396,44.33,-60.21,-58.07
4.446,44.85,-58.7,-58.96
4.496,45.24,-57.05,-59.71
4.546,45.66,-55.04,-60.67
4.596,45.83,-52.87,-61.54
4.646,45.6,-50.69,-62.06
4.696,44.89,-48.63,-62.17
4.746,43.82,-46.82,-62.05
4.796,42.83,-45.12,-61.91
4.846,41.94,-43.44,-61.79
4.895,41.06,-41.99,-61.75
4.945,40.04,-40.81,-61.7
4.995,39.69,-39.74,-61.6
5.045,39.85,-38.83,-61.58
5.095,40.72,-38.09,-61.62
5.145,41.71,-37.52,-61.64
5.195,42.17,-37.1,-61.72
5.245,42.47,-36.56,-61.86
5.295,42.38,-36.03,-61.98
5.345,42.05,-35.6,-62.12
5.395,41.47,-35.27,-62.25
5.445,40.88,-35.06,-62.33
5.494,40.3,-34.83,-62.43
5.544,39.96,-34.57,-62.55
5.594,39.57,-34.46,-62.75
5.644,39.13,-34.47,-62.95
5.695,38.71,-34.64,-63.06
5.744,38.37,-34.94,-63.11
5.794,37.92,-35.29,-63.02
5.844,37.62,-35.58,-62.86
5.894,37.54,-35.91,-62.77
5.944,37.48,-36.21,-62.66
5.994,37.33,-36.52,-62.45
6.044,36.87,-36.82,-62.19
6.094,36.58,-37.0,-61.99
6.143,36.54,-37.22,-61.87
6.193,36.68,-37.37,-61.8
6.243,36.7,-37.43,-61.69
6.293,36.74,-37.38,-61.6
6.343,36.89,-37.36,-61.57
6.393,37.02,-37.39,-61.59
6.443,37.05,-37.38,-61.7
6.493,36.99,-37.39,-61.78
6.543,36.97,-37.31,-61.79
6.593,37.04,-37.24,-61.81
6.643,37.14,-37.19,-61.81
6.693,37.12,-37.14,-61.73
6.743,36.91,-37.08,-61.71
6.793,36.76,-37.07,-61.67
6.842,36.65,-37.06,-61.64
6.892,36.61,-37.0,-61.62
6.942,36.62,-36.95,-61.63
6.992,36.69,-36.92,-61.55
7.042,36.63,-36.85,-61.36
7.092,36.45,-36.82,-61.16
7.142,36.23,-36.87,-61.07
7.192,36.1,-36.85,-60.98
7.242,35.96,-36.88,-60.95
7.292,36.06,-36.83,-61.15
7.342,36.21,-36.54,-61.53
7.392,36.18,-36.26,-61.81
7.442,36.07,-36.04,-61.86
7.491,35.93,-36.03,-61.87
7.541,35.77,-36.14,-61.8
7.592,35.59,-36.39,-61.81
7.641,35.5,-36.85,-61.69
7.691,34.79,-37.72,-61.33
7.740,33.89,-38.69,-60.95
7.791,33.14,-39.89,-60.57
7.841,32.3,-41.28,-60.15
7.891,31.59,-42.84,-59.66
7.941,31.14,-44.39,-59.24
7.990,30.94,-46.09,-58.83
8.040,30.98,-47.78,-58.51
8.090,31.1,-49.49,-58.08
8.140,31.31,-51.25,-57.56
8.191,31.12,-52.96,-56.46
8.240,30.7,-54.67,-55.72
8.290,29.96,-56.37,-54.66
8.340,29.23,-57.97,-53.79
8.390,28.44,-59.55,-52.68
8.440,27.55,-61.12,-51.45
8.490,26.67,-62.72,-50.2
8.540,25.51,-64.18,-48.65
8.590,24.34,-65.61,-47.04
8.639,23.07,-66.95,-45.22
8.689,21.89,-68.36,-43.54
8.739,20.4,-69.74,-41.59
8.789,18.39,-70.99,-39.12
8.839,16.28,-71.97,-36.34
8.889,14.24,-72.97,-33.74
8.939,12.1,-73.91,-31.06
8.989,9.91,-74.83,-28.47
9.039,7.37,-75.73,-25.63
9.088,4.36,-76.53,-22.32
9.139,1.16,-77.43,-18.73
9.188,-1.73,-78.15,-15.22
9.238,-4.84,-78.9,-11.64
9.288,-8.21,-79.48,-7.73
9.338,-11.48,-79.95,-4.08
9.388,-15.02,-80.31,-0.32
9.438,-18.54,-80.62,3.19
9.487,-22.21,-80.83,6.91
9.538,-26.36,-80.86,11.29
9.588,-29.74,-80.74,14.88
9.638,-33.08,-80.53,18.57
9.688,-35.18,-80.29,20.98
9.738,-36.23,-79.91,22.35
9.787,-36.71,-79.6,23.01
9.837,-36.47,-79.4,22.65
9.887,-35.56,-79.2,21.69
9.937,-34.31,-79.05,20.32
9.987,-32.9,-78.99,18.79
10.037,-31.49,-78.92,17.24
10.087,-30.25,-78.86,15.92
10.137,-29.11,-78.79,14.84
10.187,-28.32,-78.78,13.99
10.237,-27.66,-78.78,13.27
10.287,-27.14,-78.78,12.54
10.337,-26.64,-78.84,11.77
10.387,-26.25,-78.8,11.15
10.437,-26.1,-78.76,10.8
10.486,-25.83,-78.69,10.39
10.536,-25.66,-78.64,10.08
10.586,-25.54,-78.62,9.82
10.636,-25.41,-78.57,9.57
10.686,-25.33,-78.57,9.37
10.736,-25.28,-78.56,9.28
10.786,-25.47,-78.64,9.48
10.836,-25.93,-78.75,9.91
10.886,-26.37,-78.79,10.27
10.936,-26.67,-78.84,10.43
10.986,-26.89,-78.84,10.63
11.035,-26.84,-78.83,10.56
11.085,-26.52,-78.84,10.26
11.135,-25.9,-78.79,9.61
11.185,-25.26,-78.72,8.84
11.235,-24.82,-78.74,8.35
11.285,-24.55,-78.74,8.05
11.335,-24.24,-78.75,7.58
11.385,-23.77,-78.78,6.94
11.435,-23.24,-78.77,6.21
11.485,-22.88,-78.79,5.64
11.535,-22.52,-78.82,5.07
11.584,-22.3,-78.87,4.69
11.635,-22.12,-78.92,4.42
11.684,-21.62,-78.95,3.75
11.734,-20.89,-78.84,2.93
11.784,-19.36,-78.67,1.11
11.834,-17.87,-78.39,-0.79
11.884,-16.31,-78.07,-2.62
11.934,-14.51,-77.77,-4.57
11.984,-12.62,-77.47,-6.49
12.034,-10.47,-77.12,-8.67
12.084,-8.2,-76.81,-10.91
12.134,-6.24,-76.79,-12.73
12.184,-4.39,-76.43,-14.36
12.234,-2.5,-76.05,-16.1
12.283,-0.31,-75.67,-18.3
12.333,1.76,-75.35,-20.49
12.383,3.46,-75.09,-22.18
12.433,5.36,-74.91,-23.96
12.483,7.74,-74.67,-26.05
12.533,9.82,-74.42,-27.92
12.583,11.56,-74.25,-29.6
12.633,12.7,-73.96,-30.8
12.683,13.67,-73.72,-31.89
12.733,14.21,-73.58,-32.57
12.783,14.67,-73.53,-33.14
12.833,15.09,-73.5,-33.6
12.883,15.35,-73.48,-33.9
12.932,15.43,-73.44,-34.08
12.982,15.38,-73.39,-34.1
13.033,15.38,-73.29,-34.18
13.082,15.34,-73.18,-34.12
13.132,15.51,-72.99,-34.2
13.183,15.75,-72.82,-34.37
13.232,16.09,-72.72,-34.73
13.282,16.35,-72.63,-35.1
13.332,16.49,-72.62,-35.33
