Time(s),Roll(deg),Pitch(deg),Yaw(deg)
5.955,-17.39,-20.24,29.13
6.005,-16.61,-17.34,29.97
6.055,-15.63,-14.46,30.83
6.105,-14.19,-11.88,31.95
6.155,-12.52,-8.91,33.0
6.204,-12.01,-5.82,33.27
6.254,-11.65,-3.06,33.18
6.304,-10.94,-1.84,33.42
6.354,-9.96,-0.8,33.64
6.404,-9.32,0.04,33.72
6.454,-8.49,0.64,33.94
6.504,-7.23,1.13,34.37
6.554,-6.92,1.42,34.54
6.604,-7.11,1.66,34.66
6.654,-7.01,1.81,34.75
6.703,-6.69,1.64,34.79
6.753,-6.54,1.47,34.79
6.803,-6.71,1.58,34.92
6.853,-6.7,2.07,35.17
6.903,-6.68,2.25,35.33
6.953,-6.69,2.24,35.53
7.003,-6.8,2.21,35.69
7.053,-6.93,2.11,35.84
7.103,-6.95,1.86,35.97
7.153,-7.1,1.84,36.08
7.203,-7.07,2.06,36.13
7.253,-6.88,2.2,36.19
7.302,-6.49,2.3,36.31
7.352,-5.81,2.34,36.58
7.402,-5.48,2.3,36.81
7.452,-5.29,1.97,37.19
7.502,-5.0,1.65,37.41
7.552,-4.6,1.66,37.66
7.602,-4.4,1.66,37.83
7.652,-4.61,1.55,37.87
7.702,-4.81,1.81,37.91
7.753,-4.61,1.91,38.01
7.803,-4.69,2.04,38.19
7.852,-4.95,2.61,38.35
7.903,-5.46,3.12,38.62
7.952,-5.42,2.97,38.8
8.001,-4.78,2.49,38.96
8.051,-4.03,1.94,39.13
8.101,-3.21,1.59,39.31
8.151,-2.44,1.42,39.45
8.201,-2.11,1.21,39.54
8.251,-1.91,1.23,39.64
8.301,-2.05,1.51,39.76
8.351,-2.43,1.89,39.9
8.401,-3.02,2.0,40.12
8.451,-3.79,1.88,40.33
8.501,-4.36,1.97,40.55
8.551,-4.64,1.87,40.67
8.601,-4.5,1.56,40.61
8.651,-4.04,1.15,40.54
8.700,-3.56,0.74,40.63
8.751,-3.2,0.51,40.69
8.801,-2.88,0.39,40.74
8.850,-2.85,0.31,40.86
8.900,-3.0,0.23,40.97
8.950,-3.2,0.14,41.09
9.000,-3.37,0.07,41.26
9.051,-3.53,-0.1,41.44
9.100,-3.63,-0.27,41.61
9.150,-3.85,-0.73,41.75
9.200,-4.05,-1.2,41.84
9.250,-4.13,-1.66,41.91
9.300,-4.12,-2.23,42.0
9.350,-3.98,-2.92,42.12
9.400,-3.68,-3.54,42.19
9.450,-3.48,-4.07,42.29
9.500,-3.59,-4.85,42.37
9.550,-3.64,-5.56,42.49
9.600,-3.79,-6.57,42.57
9.650,-3.83,-7.48,42.55
9.700,-3.81,-8.39,42.63
9.750,-3.79,-8.97,42.75
9.800,-3.83,-9.47,42.74
9.850,-3.98,-10.34,42.86
9.900,-4.34,-11.39,43.03
9.950,-4.43,-12.19,43.21
10.000,-4.77,-13.68,43.4
10.048,-5.62,-15.21,43.51
10.099,-6.05,-16.34,43.53
10.149,-6.17,-17.4,43.5
10.199,-6.41,-18.27,43.64
10.249,-6.71,-19.16,43.66
10.299,-7.1,-19.92,43.74
10.349,-7.34,-20.74,43.92
10.399,-7.47,-21.71,43.93
10.449,-7.81,-23.14,43.82
10.499,-8.24,-24.29,43.78
10.548,-8.88,-25.45,43.6
10.598,-9.47,-26.43,43.36
10.648,-9.72,-27.22,43.28
10.698,-9.98,-28.02,43.35
10.748,-10.17,-28.83,43.45
10.798,-10.39,-29.74,43.49
10.848,-10.46,-30.69,43.53
10.898,-10.81,-31.97,43.59
10.949,-11.42,-33.24,43.72
10.998,-12.37,-34.49,44.05
11.048,-13.24,-35.69,44.21
11.098,-13.63,-36.77,44.12
11.147,-13.75,-37.7,44.05
11.197,-14.0,-38.68,43.9
11.247,-14.21,-39.47,43.65
11.298,-14.41,-40.38,43.37
11.348,-14.38,-41.15,43.23
11.398,-14.31,-41.89,43.15
11.447,-14.5,-42.88,43.15
11.497,-14.76,-43.94,43.09
11.548,-14.88,-44.98,43.14
11.597,-15.0,-45.96,43.14
11.647,-15.14,-47.1,42.91
11.697,-15.34,-48.2,42.47
11.746,-15.59,-49.27,41.97
11.796,-15.85,-50.39,41.69
11.846,-16.16,-51.38,41.24
11.896,-16.29,-52.34,40.8
11.946,-16.31,-53.37,40.28
11.996,-16.11,-54.24,39.53
12.046,-15.98,-55.08,38.84
12.095,-15.84,-55.93,38.18
12.145,-15.64,-56.58,37.57
12.195,-15.59,-57.06,37.25
12.245,-15.61,-57.26,37.19
12.296,-15.4,-57.78,36.91
12.346,-14.99,-58.09,36.05
12.396,-14.61,-58.59,34.99
12.446,-14.35,-59.21,33.86
12.496,-13.76,-59.65,32.78
12.546,-13.12,-60.3,31.77
12.596,-12.43,-60.79,30.85
12.646,-11.75,-61.35,29.93
12.695,-11.03,-61.86,29.02
12.745,-10.32,-62.24,28.12
12.795,-9.57,-62.58,27.31
12.845,-8.92,-63.0,26.56
12.895,-8.06,-63.3,25.6
12.945,-7.08,-63.52,24.55
12.995,-6.2,-63.73,23.69
13.045,-5.4,-64.06,22.95
13.095,-4.73,-64.42,22.35
13.144,-4.21,-64.64,21.85
13.194,-3.87,-64.95,21.39
13.244,-3.8,-65.12,21.21
13.294,-3.72,-65.32,20.92
13.344,-3.69,-65.58,20.67
13.394,-3.68,-65.65,20.63
13.444,-3.73,-65.72,20.51
13.494,-3.95,-65.81,20.43
13.544,-3.93,-65.78,20.34
13.594,-3.7,-65.76,20.03
13.643,-3.24,-65.69,19.7
13.693,-3.05,-65.68,19.39
13.744,-2.93,-65.72,19.15
13.794,-2.8,-65.59,18.97
13.843,-2.96,-65.55,18.82
13.893,-3.01,-65.47,18.73
13.943,-3.02,-65.47,18.41
13.993,-3.0,-65.43,18.13
14.043,-2.96,-65.45,17.98
14.093,-2.89,-65.5,17.9
14.143,-2.86,-65.59,17.82
14.193,-2.79,-65.65,17.7
14.243,-2.78,-65.7,17.6
14.293,-2.75,-65.78,17.46
14.343,-2.74,-65.78,17.38
14.393,-2.7,-65.84,17.25
14.443,-2.6,-65.85,17.07
14.493,-2.47,-65.86,16.78
14.542,-2.37,-65.92,16.58
14.592,-2.25,-65.98,16.32
14.642,-2.15,-66.05,16.09
14.692,-2.04,-66.05,15.85
14.742,-1.92,-66.1,15.58
14.792,-1.81,-66.13,15.37
14.842,-1.74,-66.15,15.17
14.892,-1.65,-66.19,14.95
14.942,-1.55,-66.27,14.69
14.992,-1.46,-66.34,14.5
15.042,-1.35,-66.36,14.28
15.092,-1.27,-66.41,14.07
15.141,-1.16,-66.4,13.88
15.191,-1.04,-66.42,13.67
15.241,-0.88,-66.4,13.37
15.291,-0.87,-66.39,13.21
15.341,-0.81,-66.37,12.98
15.391,-0.91,-66.4,12.91
15.441,-1.05,-66.3,12.93
15.491,-1.15,-66.05,13.14
15.541,-1.13,-65.89,13.25
15.591,-1.01,-65.87,13.1
15.641,-0.56,-65.99,12.52
15.691,-0.03,-66.13,11.83
15.740,0.45,-66.23,11.18
15.790,1.07,-66.4,10.42
15.840,1.93,-66.63,9.43
15.890,2.78,-66.99,8.44
15.939,3.57,-67.33,7.5
15.989,4.19,-67.61,6.69
16.039,4.56,-67.79,6.18
16.089,4.86,-67.95,5.72
16.139,5.07,-68.11,5.3
16.188,5.26,-68.18,4.79
16.239,5.45,-68.15,4.25
16.289,5.78,-68.26,3.63
16.338,5.94,-68.27,2.98
16.388,6.0,-68.12,2.11
16.438,5.95,-68.0,1.49
16.488,5.81,-68.03,0.96
16.538,5.49,-67.99,0.61
16.588,5.39,-68.01,0.02
16.638,5.43,-68.09,-0.41
16.688,5.62,-68.13,-0.72
16.738,6.07,-68.36,-0.94
16.789,7.3,-68.92,-1.65
16.838,8.7,-69.39,-2.62
16.889,10.15,-69.9,-4.0
16.938,10.6,-70.07,-5.31
16.988,10.91,-70.06,-6.53
17.038,11.2,-70.08,-7.73
17.088,11.18,-70.04,-9.0
17.138,11.2,-69.89,-10.25
17.188,11.14,-69.56,-11.23
17.238,11.5,-69.48,-11.67
17.288,11.41,-69.21,-11.81
17.338,11.27,-68.91,-11.96
17.388,11.73,-68.93,-12.36
17.438,11.03,-68.28,-12.07
17.488,12.23,-69.07,-13.3
17.537,12.71,-69.07,-13.82
17.587,12.89,-69.06,-14.25
17.637,13.0,-68.96,-14.6
17.687,13.06,-68.89,-15.03
17.737,13.05,-68.84,-15.25
17.786,13.04,-68.87,-15.4
17.837,12.94,-68.84,-15.48
17.887,13.12,-68.83,-15.73
17.937,13.32,-68.89,-16.03
17.987,13.4,-68.95,-16.24
18.037,13.56,-68.96,-16.47
18.087,13.8,-68.92,-16.74
18.137,14.12,-68.85,-17.12
18.186,14.47,-68.68,-17.57
18.236,15.02,-68.45,-18.22
18.286,15.69,-68.36,-18.84
18.335,16.33,-68.31,-19.33
18.385,16.89,-68.23,-19.83
18.436,17.23,-68.14,-20.24
18.485,17.64,-68.0,-20.7
18.536,18.06,-67.82,-21.22
18.586,18.37,-67.7,-21.62
18.636,18.73,-67.63,-22.11
18.686,19.04,-67.53,-22.5
18.736,19.12,-67.44,-22.66
18.786,19.13,-67.39,-22.67
18.836,19.06,-67.44,-22.58
18.886,19.13,-67.55,-22.56
18.936,19.19,-67.6,-22.49
18.985,19.18,-67.68,-22.44
19.036,19.11,-67.79,-22.29
19.085,19.02,-67.84,-22.16
19.135,19.15,-67.93,-22.3
19.185,19.28,-67.88,-22.49
19.235,19.45,-67.86,-22.77
19.285,19.74,-67.82,-23.15
19.335,20.0,-67.82,-23.56
19.385,20.23,-67.81,-23.89
19.435,20.34,-67.8,-24.14
19.485,20.39,-67.78,-24.3
19.535,20.51,-67.76,-24.52
19.584,20.58,-67.73,-24.69
19.634,20.8,-67.64,-24.97
19.683,21.02,-67.61,-25.27
19.733,21.2,-67.67,-25.51
19.784,21.3,-67.7,-25.72
19.834,21.4,-67.77,-25.9
19.884,21.48,-67.8,-26.15
19.934,21.62,-67.84,-26.42
