Time(s),Roll(deg),Pitch(deg),Yaw(deg)
8.829,-25.98,-29.24,-43
8.879,-28.52,-28.73,-41.78
8.928,-31.46,-27.96,-40.67
8.978,-35.01,-26.79,-39.64
9.028,-39.07,-25.3,-38.49
9.077,-42.61,-23.7,-37.35
9.127,-45.23,-22.36,-37.05
9.177,-47.16,-21.28,-36.68
9.227,-47.98,-20.29,-35.22
9.278,-47.72,-19.31,-32.24
9.328,-46.84,-18.16,-27.68
9.378,-45.61,-17.13,-24.47
9.428,-44.03,-16.04,-20.61
9.478,-43.13,-14.97,-17.65
9.527,-42.08,-13.95,-14.57
9.577,-40.99,-12.72,-11.38
9.627,-40.17,-11.32,-8.84
9.677,-39.41,-9.78,-6.94
9.727,-39.12,-9.23,-6.01
9.777,-38.92,-7.97,-4.08
9.827,-38.36,-7.47,-2.7
9.877,-38.9,-7.01,-2.37
9.927,-39.82,-6.04,-2.1
9.977,-40.5,-5.42,-1.74
10.027,-41.18,-4.45,-1.13
10.076,-41.81,-3.88,-0.97
10.125,-41.5,-3.55,-0.36
10.175,-40.98,-3.45,0.17
10.225,-40.27,-3.31,0.93
10.276,-40.17,-3.2,1.36
10.325,-40.14,-3.29,1.53
10.376,-40.4,-3.48,1.38
10.426,-40.07,-3.56,1.79
10.476,-39.69,-3.71,2.16
10.525,-39.45,-3.74,2.49
10.576,-39.47,-3.77,2.58
10.625,-39.74,-3.78,2.46
10.674,-39.87,-3.73,2.37
10.724,-39.92,-3.7,2.38
10.775,-39.79,-3.74,2.33
10.825,-39.85,-3.85,2.14
10.874,-39.72,-4.06,2.11
10.925,-39.66,-4.1,2.11
10.974,-39.58,-4.12,2.02
11.025,-39.39,-4.05,2.07
11.075,-38.96,-4.13,2.26
11.125,-38.84,-4.68,2.04
11.175,-38.69,-5.58,1.7
11.225,-38.51,-6,1.96
11.275,-38.61,-6.38,2
11.324,-38.98,-7.16,1.39
11.373,-39.19,-8.33,0.66
11.424,-39.16,-9.79,-0.34
11.474,-39.4,-11.69,-2.14
11.523,-39.39,-13.38,-3.82
11.574,-38.98,-15.26,-5.83
11.623,-38.59,-17.07,-8.87
11.673,-38.01,-18.32,-11.01
11.724,-37.22,-18.65,-11.73
11.773,-35.57,-19.96,-14.77
11.823,-34.86,-21.62,-22.4
11.873,-35.15,-22.21,-29.3
11.923,-35.17,-22.34,-32.65
11.973,-34.52,-22.08,-36.4
12.023,-33.58,-21.71,-40.14
12.074,-32.21,-21.29,-43.45
12.123,-31.35,-20.86,-45.73
12.173,-31.13,-20.35,-47.76
12.222,-31.22,-19.98,-50.18
12.272,-30.01,-20.33,-50.56
12.322,-28.71,-20.97,-50.63
12.373,-27.81,-21.43,-51.05
12.423,-27.62,-21.69,-51.39
12.473,-27.65,-21.96,-51.08
12.523,-26.41,-22.48,-50.16
12.572,-26.07,-22.68,-49.94
12.622,-26.28,-22.71,-49.96
12.672,-25.71,-22.86,-50.05
12.722,-24.92,-23.07,-50.05
12.772,-24.26,-23.33,-49.86
12.822,-23.76,-23.46,-49.66
12.871,-23.38,-23.55,-49.48
12.921,-23.04,-23.63,-49.43
12.971,-22.58,-23.82,-49.44
13.022,-22.18,-24.13,-49.31
13.071,-21.78,-24.4,-49.23
13.121,-21.52,-24.59,-49.1
13.171,-21.22,-24.67,-49.14
13.221,-20.9,-24.74,-49.17
13.271,-20.35,-24.83,-49.18
13.321,-19.27,-24.96,-49.18
13.371,-18.12,-25.09,-49.24
13.422,-17.86,-24.93,-49.79
13.47,-17.55,-24.78,-50.59
13.52,-17.33,-24.57,-51.45
13.57,-16.96,-24.52,-51.99
13.62,-16.59,-24.53,-52.6
13.67,-16.53,-24.36,-53.52
13.72,-16.49,-24.16,-54.38
13.77,-16.44,-23.86,-55.21
13.82,-16.46,-23.51,-56.04
13.87,-16.75,-23.14,-56.85
13.92,-17.25,-22.69,-57.71
13.97,-17.58,-22.32,-58.29
14.02,-17.59,-22,-58.82
14.069,-17.49,-21.73,-59.28
14.119,-16.61,-21.84,-59.52
14.169,-15.23,-22.44,-59.37
14.219,-15.31,-22.17,-59.9
14.269,-15.77,-21.41,-60.89
14.319,-16.23,-20.66,-62.04
14.369,-16.54,-20.02,-63.02
14.419,-16.78,-19.48,-64.15
14.469,-17.1,-18.83,-65.54
14.519,-17.57,-18.22,-66.36
14.569,-17.78,-17.68,-66.98
14.619,-17.87,-17.18,-67.42
14.669,-18.07,-16.55,-67.78
14.718,-18.11,-15.83,-68.06
14.768,-18.24,-15.34,-67.74
14.818,-18.18,-14.89,-67.42
14.868,-17.77,-14.51,-66.83
14.918,-17.42,-14.32,-65.86
14.968,-17.22,-14.05,-64.84
15.018,-17.05,-13.37,-64.24
15.068,-17.43,-12.28,-63.57
15.118,-17.61,-11.83,-62.95
15.168,-17.71,-11.42,-62.67
15.218,-17.84,-11.02,-62.31
15.268,-17.97,-10.72,-61.98
15.318,-17.95,-10.48,-61.77
15.367,-17.96,-9.97,-61.67
15.418,-17.84,-9.62,-61.56
15.468,-18.08,-8.81,-61.42
15.518,-18.24,-8.07,-61.32
15.568,-18.4,-7.17,-61.2
15.618,-18.44,-6.72,-61.03
15.668,-18.42,-6.11,-60.88
15.718,-18.38,-5.74,-60.96
15.768,-18.34,-5.09,-61.09
15.818,-18.38,-3.49,-61.11
15.867,-18.08,2.21,-58.68
15.918,-19.07,8.35,-58.02
15.967,-18.53,8.96,-57.87
16.017,-18.5,9.22,-58.1
16.067,-18.27,9.29,-57.99
16.117,-18.2,9.53,-57.91
16.167,-18.07,9.73,-57.92
16.217,-18.06,9.82,-57.81
16.267,-18.01,9.84,-57.67
16.317,-18.12,10.03,-57.41
16.367,-18.01,10.05,-57.22
16.416,-17.85,10.15,-57.07
16.467,-17.81,10.16,-56.93
16.517,-17.85,10.24,-56.79
16.566,-17.89,10.34,-56.51
16.616,-17.65,10.34,-56.41
16.666,-17.6,10.46,-56.28
16.716,-17.73,10.66,-56.16
16.766,-17.85,10.73,-56.12
