Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
9.528,1.2644494353969762,-76.70825485037841,10.81599936891645,0
9.578,2.910622319403225,-76.70003640543999,8.457652348046981,0
9.628,4.357242749077135,-76.69483904623065,6.325766772497321,0
9.678,5.59034801566641,-76.71179990971302,4.456891556841148,0
9.728,6.597002003357633,-76.75613409074539,2.8798184406867096,0
9.778,7.366526401786177,-76.8223174806828,1.6122717534231858,0
9.828,7.895806135602667,-76.89892469038413,0.6559795197008242,0
9.877,8.195279122973298,-76.97348008495283,-0.007129276184595874,0
9.928,8.292043556301238,-77.0360230969091,-0.4149452162888061,0
9.977,8.228065647291725,-77.08085406729204,-0.6202999813549234,0
10.027,8.053901948695444,-77.10667189795709,-0.6823353768875419,0
10.076,7.820414274084424,-77.11578194381615,-0.6570159002749539,0
10.126,7.571580548586646,-77.11309790822003,-0.5899531652974909,0
10.176,7.340519435985921,-77.10530077570407,-0.5134648039891112,0
10.227,7.149065111199077,-77.1000453577787,-0.4478603908128708,0
10.277,7.009757687302301,-77.10491358185868,-0.40538547246998996,0
10.327,6.928605579049738,-77.12603057925587,-0.3946604689027125,0
10.377,6.907354621040356,-77.16664153652296,-0.42376706904474015,0
10.427,6.944696152058318,-77.22613945319458,-0.5009615124445193,0
10.477,7.036361802575695,-77.29989504529341,-0.6330006200032873,0
10.526,7.17435993213191,-77.3799261188324,-0.8220317262900081,0
10.576,7.345936005353493,-77.45621611303343,-1.0626226954249585,0
10.626,7.533162470321344,-77.5184517445855,-1.3405037170923573,0
10.676,7.714045994435544,-77.55796197338513,-1.6339531655846757,0
10.726,7.865472305375257,-77.56953640959689,-1.9177545367236914,0
10.776,7.967425109690983,-77.55263494881696,-2.1686337771604944,0
10.825,8.007212713579557,-77.51150682814843,-2.3704438293541927,0
10.875,7.98229905971794,-77.45403693863108,-2.5174433885394953,0
10.926,7.900841857835105,-77.38960041812132,-2.6148551825078554,0
10.976,7.779929230662185,-77.3266082819144,-2.6770288352561935,0
11.025,7.642272332039571,-77.27059572650667,-2.7242679057345236,0
11.075,7.512330496035658,-77.22353008790022,-2.7793128934365576,0
11.125,7.412541702264133,-77.18449861242465,-2.8638611364461135,0
11.175,7.359928100578073,-77.15130048762897,-2.9950038811471926,0
11.225,7.363226013726234,-77.12208242042614,-3.1815329150488227,0
11.275,7.4208731375685755,-77.09625176038887,-3.4206588180059194,0
